Run ID    : resnet5ch_euvp_bs16_20260624_081624
Ckpt dir  : ./checkpoints/resnet5ch_euvp_bs16_20260624_081624
Log file  : D:\underwater-image-enhancement\logs\resnet5ch_euvp_bs16_20260624_081624.log
Command   : train.py --dataset euvp --data_train_euvp ./datasets/EUVP --model resnet_5ch --batchSize 16 --threads 0 --nEpochs 50 --run_name resnet5ch_euvp_bs16
Timestamp : 2026-06-24 08:16:24
-----------------------------------------------------------------

=================================================================
  Training: resnet_5ch   epochs=50   batch=16
=================================================================
 Epoch    TrainL      ValL     PSNR     SSIM         LR    Time
-----------------------------------------------------------------
   [Batch 50/643] Loss: 1.0150
   [Batch 100/643] Loss: 1.1090
   [Batch 150/643] Loss: 1.0984
   [Batch 200/643] Loss: 0.9668
   [Batch 250/643] Loss: 0.9790
   [Batch 300/643] Loss: 0.8276
   [Batch 350/643] Loss: 0.9243
   [Batch 400/643] Loss: 0.9156
   [Batch 450/643] Loss: 1.0573
   [Batch 500/643] Loss: 0.9229
   [Batch 550/643] Loss: 1.0040
   [Batch 600/643] Loss: 1.0596
    12    0.9960    0.9828   22.615   0.8547   1.00e-04  209.5s
   [Batch 50/643] Loss: 0.8602
   [Batch 100/643] Loss: 1.0435
   [Batch 150/643] Loss: 0.9497
   [Batch 200/643] Loss: 1.0899
   [Batch 250/643] Loss: 1.0190
   [Batch 300/643] Loss: 1.0275
   [Batch 350/643] Loss: 1.0148
   [Batch 400/643] Loss: 0.9690
   [Batch 450/643] Loss: 0.8964
   [Batch 500/643] Loss: 1.0020
   [Batch 550/643] Loss: 0.9761
   [Batch 600/643] Loss: 0.9823
   [Batch 50/643] Loss: 0.9018
   [Batch 100/643] Loss: 1.0309
   [Batch 150/643] Loss: 0.9450
   [Batch 200/643] Loss: 0.9401
   [Batch 250/643] Loss: 0.9262
   [Batch 300/643] Loss: 0.9206
   [Batch 350/643] Loss: 1.0766
   [Batch 400/643] Loss: 0.9737
   [Batch 450/643] Loss: 0.9900
   [Batch 500/643] Loss: 0.8954
   [Batch 550/643] Loss: 1.0463
   [Batch 600/643] Loss: 1.0293
    14    0.9884    0.9710   22.945   0.8619   1.00e-04  209.1s  ← BEST ✓
   [Batch 50/643] Loss: 0.9569
   [Batch 100/643] Loss: 0.9658
   [Batch 150/643] Loss: 1.0033
   [Batch 200/643] Loss: 1.0648
   [Batch 250/643] Loss: 1.0232
   [Batch 300/643] Loss: 0.9805
   [Batch 350/643] Loss: 1.0349
   [Batch 400/643] Loss: 1.1079
   [Batch 450/643] Loss: 0.9394
   [Batch 500/643] Loss: 1.0562
   [Batch 550/643] Loss: 1.0137
   [Batch 600/643] Loss: 1.0071
   [Batch 50/643] Loss: 0.9684
   [Batch 100/643] Loss: 1.0668
   [Batch 150/643] Loss: 0.9898
   [Batch 200/643] Loss: 1.0592
   [Batch 250/643] Loss: 0.9981
   [Batch 300/643] Loss: 1.0040
   [Batch 350/643] Loss: 0.9817
   [Batch 400/643] Loss: 0.9475
   [Batch 450/643] Loss: 0.9785
   [Batch 500/643] Loss: 0.9563
   [Batch 550/643] Loss: 0.9848
   [Batch 600/643] Loss: 1.0214
    16    0.9743    0.9572   23.131   0.8626   1.00e-04  209.4s  ← BEST ✓
   [Batch 50/643] Loss: 0.8789
   [Batch 100/643] Loss: 1.0467
   [Batch 150/643] Loss: 0.9099
   [Batch 200/643] Loss: 0.9158
   [Batch 250/643] Loss: 0.9571
   [Batch 300/643] Loss: 1.1050
   [Batch 350/643] Loss: 0.9240
   [Batch 400/643] Loss: 0.9611
   [Batch 450/643] Loss: 1.1532
   [Batch 500/643] Loss: 1.0247
   [Batch 550/643] Loss: 0.8858
   [Batch 600/643] Loss: 0.9227
   [Batch 50/643] Loss: 0.9642
   [Batch 100/643] Loss: 0.9006
   [Batch 150/643] Loss: 0.9775
   [Batch 200/643] Loss: 0.8732
   [Batch 250/643] Loss: 0.9618
   [Batch 300/643] Loss: 1.0193
   [Batch 350/643] Loss: 1.0428
   [Batch 400/643] Loss: 0.9525
   [Batch 450/643] Loss: 0.9578
   [Batch 500/643] Loss: 0.8944
   [Batch 550/643] Loss: 0.9637
   [Batch 600/643] Loss: 0.9269
    18    0.9680    0.9989   22.289   0.8513   1.00e-04  227.8s
   [Batch 50/643] Loss: 0.9677
   [Batch 100/643] Loss: 0.8573
   [Batch 150/643] Loss: 0.9747
   [Batch 200/643] Loss: 1.0007
   [Batch 250/643] Loss: 0.9289
   [Batch 300/643] Loss: 0.9737
   [Batch 350/643] Loss: 0.9110
   [Batch 400/643] Loss: 1.0294
   [Batch 450/643] Loss: 1.0861
   [Batch 500/643] Loss: 1.0112
   [Batch 550/643] Loss: 0.9738
   [Batch 600/643] Loss: 0.9652
   [Batch 50/643] Loss: 1.0148
   [Batch 100/643] Loss: 0.9934
   [Batch 150/643] Loss: 1.0234
   [Batch 200/643] Loss: 0.8881
   [Batch 250/643] Loss: 0.9955
   [Batch 300/643] Loss: 0.9029
   [Batch 350/643] Loss: 1.0626
   [Batch 400/643] Loss: 0.9523
   [Batch 450/643] Loss: 0.9011
   [Batch 500/643] Loss: 0.9081
   [Batch 550/643] Loss: 0.8980
   [Batch 600/643] Loss: 1.0638
    20    0.9644    0.9566   23.112   0.8667   1.00e-04  207.5s
   [Batch 50/643] Loss: 1.0168
   [Batch 100/643] Loss: 0.8493
   [Batch 150/643] Loss: 0.9034
   [Batch 200/643] Loss: 0.9369
   [Batch 250/643] Loss: 0.9478
   [Batch 300/643] Loss: 1.0558
   [Batch 350/643] Loss: 0.9050
   [Batch 400/643] Loss: 1.0179
   [Batch 450/643] Loss: 1.0054
   [Batch 500/643] Loss: 1.0340
   [Batch 550/643] Loss: 0.9306
   [Batch 600/643] Loss: 0.9390
   [Batch 50/643] Loss: 0.8866
   [Batch 100/643] Loss: 0.8616
   [Batch 150/643] Loss: 0.8787
   [Batch 200/643] Loss: 0.9189
   [Batch 250/643] Loss: 0.9981
   [Batch 300/643] Loss: 0.9002
   [Batch 350/643] Loss: 0.9300
   [Batch 400/643] Loss: 1.0385
   [Batch 450/643] Loss: 1.0277
   [Batch 500/643] Loss: 1.0351
   [Batch 550/643] Loss: 0.8267
   [Batch 600/643] Loss: 0.9958
    22    0.9575    0.9564   23.162   0.8665   1.00e-04  207.4s  ← BEST ✓
   [Batch 50/643] Loss: 0.9368
   [Batch 100/643] Loss: 0.9068
   [Batch 150/643] Loss: 1.0626
   [Batch 200/643] Loss: 0.9556
   [Batch 250/643] Loss: 0.8959
   [Batch 300/643] Loss: 0.9595
   [Batch 350/643] Loss: 0.9241
   [Batch 400/643] Loss: 0.9391
   [Batch 450/643] Loss: 0.9563
   [Batch 500/643] Loss: 0.8713
   [Batch 550/643] Loss: 0.9192
   [Batch 600/643] Loss: 0.9444
   [Batch 50/643] Loss: 1.0089
   [Batch 100/643] Loss: 0.9803
   [Batch 150/643] Loss: 1.1184
   [Batch 200/643] Loss: 1.0051
   [Batch 250/643] Loss: 0.9656
   [Batch 300/643] Loss: 0.9783
   [Batch 350/643] Loss: 0.8801
   [Batch 400/643] Loss: 0.8643
   [Batch 450/643] Loss: 0.9800
   [Batch 500/643] Loss: 0.8681
   [Batch 550/643] Loss: 0.9628
   [Batch 600/643] Loss: 0.9517
    24    0.9511    0.9425   23.289   0.8678   1.00e-04  206.8s  ← BEST ✓
   [Batch 50/643] Loss: 1.0161
   [Batch 100/643] Loss: 0.8422
   [Batch 150/643] Loss: 0.8312
   [Batch 200/643] Loss: 1.0715
   [Batch 250/643] Loss: 1.0442
   [Batch 300/643] Loss: 0.9768
   [Batch 350/643] Loss: 0.9337
   [Batch 400/643] Loss: 0.9283
   [Batch 450/643] Loss: 0.9731
   [Batch 500/643] Loss: 1.0401
   [Batch 550/643] Loss: 1.0222
   [Batch 600/643] Loss: 1.0688
   [Batch 50/643] Loss: 0.9565
   [Batch 100/643] Loss: 0.8702
   [Batch 150/643] Loss: 0.9659
   [Batch 200/643] Loss: 0.8162
   [Batch 250/643] Loss: 0.9687
   [Batch 300/643] Loss: 1.0062
   [Batch 350/643] Loss: 0.9372
   [Batch 400/643] Loss: 0.9718
   [Batch 450/643] Loss: 0.9165
   [Batch 500/643] Loss: 0.8620
   [Batch 550/643] Loss: 0.9284
   [Batch 600/643] Loss: 1.1050
    26    0.9481    0.9435   23.260   0.8721   1.00e-04  206.5s
   [Batch 50/643] Loss: 0.9240
   [Batch 100/643] Loss: 1.0150
   [Batch 150/643] Loss: 0.8971
   [Batch 200/643] Loss: 0.9188
   [Batch 250/643] Loss: 1.0013
   [Batch 300/643] Loss: 0.9810
   [Batch 350/643] Loss: 0.9914
   [Batch 400/643] Loss: 0.9711
   [Batch 450/643] Loss: 0.9923
   [Batch 500/643] Loss: 1.0012
   [Batch 550/643] Loss: 0.8350
   [Batch 600/643] Loss: 0.9140
   [Batch 50/643] Loss: 0.9447
   [Batch 100/643] Loss: 0.9163
   [Batch 150/643] Loss: 0.8791
   [Batch 200/643] Loss: 0.8523
   [Batch 250/643] Loss: 0.8795
   [Batch 300/643] Loss: 0.9007
   [Batch 350/643] Loss: 0.8991
   [Batch 400/643] Loss: 0.9457
   [Batch 450/643] Loss: 0.8664
   [Batch 500/643] Loss: 0.8338
   [Batch 550/643] Loss: 0.9032
   [Batch 600/643] Loss: 0.8534
    28    0.9418    0.9399   23.403   0.8703   1.00e-04  207.5s  ← BEST ✓
   [Batch 50/643] Loss: 1.0751
   [Batch 100/643] Loss: 0.9504
   [Batch 150/643] Loss: 1.0034
   [Batch 200/643] Loss: 0.8947
   [Batch 250/643] Loss: 0.9738
   [Batch 300/643] Loss: 0.9240
   [Batch 350/643] Loss: 1.0212
   [Batch 400/643] Loss: 0.8416
   [Batch 450/643] Loss: 0.9832
   [Batch 500/643] Loss: 0.9747
   [Batch 550/643] Loss: 0.9039
   [Batch 600/643] Loss: 0.9696
   [Batch 50/643] Loss: 0.9364
   [Batch 100/643] Loss: 0.9993
   [Batch 150/643] Loss: 1.0365
   [Batch 200/643] Loss: 0.9770
   [Batch 250/643] Loss: 0.9458
   [Batch 300/643] Loss: 0.9465
   [Batch 350/643] Loss: 1.0202
   [Batch 400/643] Loss: 0.8906
   [Batch 450/643] Loss: 0.8888
   [Batch 500/643] Loss: 1.0578
   [Batch 550/643] Loss: 0.8962
   [Batch 600/643] Loss: 0.9038
    30    0.9375    0.9373   23.032   0.8724   5.00e-05  208.0s
   [Batch 50/643] Loss: 0.8406
   [Batch 100/643] Loss: 0.8756
   [Batch 150/643] Loss: 0.9558
   [Batch 200/643] Loss: 1.0101
   [Batch 250/643] Loss: 0.9009
   [Batch 300/643] Loss: 0.9731
   [Batch 350/643] Loss: 0.8940
   [Batch 400/643] Loss: 0.9145
   [Batch 450/643] Loss: 0.9085
   [Batch 500/643] Loss: 1.0324
   [Batch 550/643] Loss: 0.9108
   [Batch 600/643] Loss: 0.9014
   [Batch 50/643] Loss: 0.9091
   [Batch 100/643] Loss: 0.8841
   [Batch 150/643] Loss: 1.0206
   [Batch 200/643] Loss: 0.9663
   [Batch 250/643] Loss: 0.9560
   [Batch 300/643] Loss: 1.0098
   [Batch 350/643] Loss: 0.8958
   [Batch 400/643] Loss: 0.8921
   [Batch 450/643] Loss: 0.8062
   [Batch 500/643] Loss: 0.9056
   [Batch 550/643] Loss: 0.9479
   [Batch 600/643] Loss: 1.0985
    32    0.9245    0.9224   23.601   0.8748   5.00e-05  207.8s  ← BEST ✓
   [Batch 50/643] Loss: 0.8715
   [Batch 100/643] Loss: 0.9873
   [Batch 150/643] Loss: 0.9887
   [Batch 200/643] Loss: 0.9791
   [Batch 250/643] Loss: 0.8702
   [Batch 300/643] Loss: 0.9486
   [Batch 350/643] Loss: 0.9478
   [Batch 400/643] Loss: 0.8631
   [Batch 450/643] Loss: 0.8601
   [Batch 500/643] Loss: 0.9202
   [Batch 550/643] Loss: 0.8962
   [Batch 600/643] Loss: 0.9504
   [Batch 50/643] Loss: 0.9013
   [Batch 100/643] Loss: 0.9072
   [Batch 150/643] Loss: 0.9106
   [Batch 200/643] Loss: 0.9822
   [Batch 250/643] Loss: 0.9182
   [Batch 300/643] Loss: 0.8759
   [Batch 350/643] Loss: 0.9113
   [Batch 400/643] Loss: 1.0332
   [Batch 450/643] Loss: 0.9566
   [Batch 500/643] Loss: 0.9131
   [Batch 550/643] Loss: 0.8693
   [Batch 600/643] Loss: 0.9687
    34    0.9199    0.9245   23.639   0.8746   5.00e-05  207.9s  ← BEST ✓
   [Batch 50/643] Loss: 0.8541
   [Batch 100/643] Loss: 0.9363
   [Batch 150/643] Loss: 0.9448
   [Batch 200/643] Loss: 0.9539
   [Batch 250/643] Loss: 0.8979
   [Batch 300/643] Loss: 0.9587
   [Batch 350/643] Loss: 0.9478
   [Batch 400/643] Loss: 0.9400
   [Batch 450/643] Loss: 0.8581
   [Batch 500/643] Loss: 0.9532
   [Batch 550/643] Loss: 0.9232
   [Batch 600/643] Loss: 0.8693
   [Batch 50/643] Loss: 0.9295
   [Batch 100/643] Loss: 0.9814
   [Batch 150/643] Loss: 0.9086
   [Batch 200/643] Loss: 0.8692
   [Batch 250/643] Loss: 0.8539
   [Batch 300/643] Loss: 0.9543
   [Batch 350/643] Loss: 0.8970
   [Batch 400/643] Loss: 0.8878
   [Batch 450/643] Loss: 0.8725
   [Batch 500/643] Loss: 0.8681
   [Batch 550/643] Loss: 1.0424
   [Batch 600/643] Loss: 0.9606
    36    0.9167    0.9192   23.903   0.8783   5.00e-05  207.4s  ← BEST ✓
   [Batch 50/643] Loss: 0.8641
   [Batch 100/643] Loss: 1.0251
   [Batch 150/643] Loss: 1.0157
   [Batch 200/643] Loss: 1.0436
   [Batch 250/643] Loss: 0.9220
   [Batch 300/643] Loss: 0.8889
   [Batch 350/643] Loss: 0.8373
   [Batch 400/643] Loss: 0.8712
   [Batch 450/643] Loss: 0.9148
   [Batch 500/643] Loss: 0.8947
   [Batch 550/643] Loss: 0.9290
   [Batch 600/643] Loss: 0.9973
   [Batch 50/643] Loss: 0.8853
   [Batch 100/643] Loss: 0.8706
   [Batch 150/643] Loss: 0.9333
   [Batch 200/643] Loss: 0.9418
   [Batch 250/643] Loss: 0.8743
   [Batch 300/643] Loss: 0.8847
   [Batch 350/643] Loss: 0.8506
   [Batch 400/643] Loss: 0.9312
   [Batch 450/643] Loss: 0.8995
   [Batch 500/643] Loss: 0.9090
   [Batch 550/643] Loss: 1.0322
   [Batch 600/643] Loss: 1.0093
    38    0.9143    0.9218   23.801   0.8742   5.00e-05  208.2s
   [Batch 50/643] Loss: 0.9954
   [Batch 100/643] Loss: 0.8437
   [Batch 150/643] Loss: 0.9182
   [Batch 200/643] Loss: 0.8210
   [Batch 250/643] Loss: 0.9517
   [Batch 300/643] Loss: 0.8565
   [Batch 350/643] Loss: 0.9292
   [Batch 400/643] Loss: 0.9403
   [Batch 450/643] Loss: 1.0400
   [Batch 500/643] Loss: 0.8563
   [Batch 550/643] Loss: 0.8901
   [Batch 600/643] Loss: 0.9870
   [Batch 50/643] Loss: 0.8051
   [Batch 100/643] Loss: 0.9695
   [Batch 150/643] Loss: 0.9273
   [Batch 200/643] Loss: 0.9169
   [Batch 250/643] Loss: 0.8505
   [Batch 300/643] Loss: 0.8184
   [Batch 350/643] Loss: 0.8481
   [Batch 400/643] Loss: 0.9184
   [Batch 450/643] Loss: 0.8794
   [Batch 500/643] Loss: 0.9314
   [Batch 550/643] Loss: 0.9697
   [Batch 600/643] Loss: 0.9846
    40    0.9128    0.9199   23.588   0.8741   5.00e-05  207.5s
   [Batch 50/643] Loss: 0.8889
   [Batch 100/643] Loss: 0.8886
   [Batch 150/643] Loss: 0.9267
   [Batch 200/643] Loss: 0.9031
   [Batch 250/643] Loss: 0.9831
   [Batch 300/643] Loss: 0.9157
   [Batch 350/643] Loss: 0.8885
   [Batch 400/643] Loss: 0.9213
   [Batch 450/643] Loss: 0.8017
   [Batch 500/643] Loss: 0.8996
   [Batch 550/643] Loss: 1.0188
   [Batch 600/643] Loss: 0.9080
   [Batch 50/643] Loss: 0.8378
   [Batch 100/643] Loss: 0.7878
   [Batch 150/643] Loss: 0.8968
   [Batch 200/643] Loss: 0.7997
   [Batch 250/643] Loss: 0.9138
   [Batch 300/643] Loss: 0.9043
   [Batch 350/643] Loss: 1.0682
   [Batch 400/643] Loss: 0.9833
   [Batch 450/643] Loss: 0.8411
   [Batch 500/643] Loss: 0.9101
   [Batch 550/643] Loss: 0.9255
   [Batch 600/643] Loss: 0.9510
    42    0.9092    0.9207   23.604   0.8752   5.00e-05  207.7s
   [Batch 50/643] Loss: 0.7991
   [Batch 100/643] Loss: 0.8732
   [Batch 150/643] Loss: 0.9029
   [Batch 200/643] Loss: 0.8658
   [Batch 250/643] Loss: 0.8641
   [Batch 300/643] Loss: 0.9059
   [Batch 350/643] Loss: 0.8970
   [Batch 400/643] Loss: 0.8692
   [Batch 450/643] Loss: 0.8580
   [Batch 500/643] Loss: 0.9232
   [Batch 550/643] Loss: 0.8428
   [Batch 600/643] Loss: 0.9094
   [Batch 50/643] Loss: 0.9733
   [Batch 100/643] Loss: 0.8350
   [Batch 150/643] Loss: 0.9080
   [Batch 200/643] Loss: 0.8506
   [Batch 250/643] Loss: 0.8432
   [Batch 300/643] Loss: 0.9352
   [Batch 350/643] Loss: 0.7947
   [Batch 400/643] Loss: 0.9702
   [Batch 450/643] Loss: 0.8811
   [Batch 500/643] Loss: 0.9283
   [Batch 550/643] Loss: 0.8231
   [Batch 600/643] Loss: 0.9134
    44    0.9063    0.9168   23.665   0.8761   5.00e-05  207.8s
   [Batch 50/643] Loss: 0.8988
   [Batch 100/643] Loss: 0.9154
   [Batch 150/643] Loss: 0.9909
   [Batch 200/643] Loss: 1.0152
   [Batch 250/643] Loss: 0.9511
   [Batch 300/643] Loss: 0.9102
   [Batch 350/643] Loss: 0.7997
   [Batch 400/643] Loss: 0.9749
   [Batch 450/643] Loss: 0.8950
   [Batch 500/643] Loss: 0.8947
   [Batch 550/643] Loss: 0.9643
   [Batch 600/643] Loss: 0.9790
   [Batch 50/643] Loss: 0.8790
   [Batch 100/643] Loss: 0.9170
   [Batch 150/643] Loss: 0.8986
   [Batch 200/643] Loss: 0.9418
   [Batch 250/643] Loss: 0.9851
   [Batch 300/643] Loss: 0.8442
   [Batch 350/643] Loss: 0.7704
   [Batch 400/643] Loss: 0.8210
   [Batch 450/643] Loss: 0.8956
   [Batch 500/643] Loss: 0.9210
   [Batch 550/643] Loss: 0.8069
   [Batch 600/643] Loss: 0.8671
    46    0.9044    0.9153   23.696   0.8755   5.00e-05  207.3s
