Run ID    : efficientnet5ch_euvp_bs16_20260624_053039
Ckpt dir  : ./checkpoints/efficientnet5ch_euvp_bs16_20260624_053039
Log file  : D:\underwater-image-enhancement\logs\efficientnet5ch_euvp_bs16_20260624_053039.log
Command   : train.py --dataset euvp --data_train_euvp ./datasets/EUVP --model efficientnet_5ch --batchSize 16 --threads 0 --nEpochs 50 --run_name efficientnet5ch_euvp_bs16
Timestamp : 2026-06-24 05:30:39
-----------------------------------------------------------------

=================================================================
  Training: efficientnet_5ch   epochs=50   batch=16
=================================================================
 Epoch    TrainL      ValL     PSNR     SSIM         LR    Time
-----------------------------------------------------------------
   [Batch 600/643] Loss: 0.9499
   [Batch 50/643] Loss: 0.9923
   [Batch 100/643] Loss: 1.0099
   [Batch 150/643] Loss: 0.9682
   [Batch 200/643] Loss: 1.0626
   [Batch 250/643] Loss: 1.0595
   [Batch 300/643] Loss: 1.0383
   [Batch 350/643] Loss: 1.0111
   [Batch 400/643] Loss: 1.0352
   [Batch 450/643] Loss: 0.9698
   [Batch 500/643] Loss: 1.0650
   [Batch 550/643] Loss: 1.0260
   [Batch 600/643] Loss: 0.8864
    12    1.0019    0.9869   23.332   0.8634   1.00e-04  188.1s  ← BEST ✓
   [Batch 50/643] Loss: 1.0024
   [Batch 100/643] Loss: 1.0995
   [Batch 150/643] Loss: 0.9134
   [Batch 200/643] Loss: 0.9978
   [Batch 250/643] Loss: 1.0024
   [Batch 300/643] Loss: 0.9372
   [Batch 350/643] Loss: 1.0588
   [Batch 400/643] Loss: 0.9568
   [Batch 450/643] Loss: 1.0649
   [Batch 500/643] Loss: 0.9943
   [Batch 550/643] Loss: 0.9601
   [Batch 600/643] Loss: 1.0482
   [Batch 50/643] Loss: 0.9087
   [Batch 100/643] Loss: 1.0022
   [Batch 150/643] Loss: 0.8598
   [Batch 200/643] Loss: 0.9637
   [Batch 250/643] Loss: 0.9546
   [Batch 300/643] Loss: 1.0216
   [Batch 350/643] Loss: 0.9574
   [Batch 400/643] Loss: 0.8257
   [Batch 450/643] Loss: 1.0707
   [Batch 500/643] Loss: 1.0601
   [Batch 550/643] Loss: 0.9721
   [Batch 600/643] Loss: 0.9883
    14    0.9921    0.9852   23.141   0.8624   1.00e-04  174.2s
   [Batch 50/643] Loss: 0.9064
   [Batch 100/643] Loss: 1.0307
   [Batch 150/643] Loss: 0.9898
   [Batch 200/643] Loss: 0.9381
   [Batch 250/643] Loss: 0.9815
   [Batch 300/643] Loss: 0.8814
   [Batch 350/643] Loss: 0.9521
   [Batch 400/643] Loss: 0.9720
   [Batch 450/643] Loss: 1.0658
   [Batch 500/643] Loss: 1.0351
   [Batch 550/643] Loss: 0.9334
   [Batch 600/643] Loss: 0.9824
   [Batch 50/643] Loss: 0.9740
   [Batch 100/643] Loss: 1.0374
   [Batch 150/643] Loss: 1.0022
   [Batch 200/643] Loss: 0.9442
   [Batch 250/643] Loss: 1.0470
   [Batch 300/643] Loss: 0.9072
   [Batch 350/643] Loss: 0.9287
   [Batch 400/643] Loss: 0.9816
   [Batch 450/643] Loss: 1.1123
   [Batch 500/643] Loss: 0.9895
   [Batch 550/643] Loss: 1.0704
   [Batch 600/643] Loss: 0.9603
    16    0.9827    0.9750   23.443   0.8661   1.00e-04  174.2s  ← BEST ✓
   [Batch 50/643] Loss: 1.0218
   [Batch 100/643] Loss: 0.8677
   [Batch 150/643] Loss: 0.9361
   [Batch 200/643] Loss: 1.0286
   [Batch 250/643] Loss: 1.0336
   [Batch 300/643] Loss: 0.8693
   [Batch 350/643] Loss: 1.0594
   [Batch 400/643] Loss: 0.9389
   [Batch 450/643] Loss: 0.9028
   [Batch 500/643] Loss: 0.9966
   [Batch 550/643] Loss: 1.0343
   [Batch 600/643] Loss: 1.0119
   [Batch 50/643] Loss: 0.9881
   [Batch 100/643] Loss: 0.9202
   [Batch 150/643] Loss: 0.8610
   [Batch 200/643] Loss: 0.9927
   [Batch 250/643] Loss: 0.9897
   [Batch 300/643] Loss: 0.9994
   [Batch 350/643] Loss: 0.9510
   [Batch 400/643] Loss: 1.0128
   [Batch 450/643] Loss: 1.0569
   [Batch 500/643] Loss: 1.0731
   [Batch 550/643] Loss: 0.9266
   [Batch 600/643] Loss: 0.9413
    18    0.9764    0.9671   23.504   0.8697   1.00e-04  173.4s  ← BEST ✓
   [Batch 50/643] Loss: 0.9602
   [Batch 100/643] Loss: 1.0231
   [Batch 150/643] Loss: 1.0372
   [Batch 200/643] Loss: 0.9380
   [Batch 250/643] Loss: 1.0375
   [Batch 300/643] Loss: 0.8314
   [Batch 350/643] Loss: 0.9581
   [Batch 400/643] Loss: 1.0238
   [Batch 450/643] Loss: 1.0554
   [Batch 500/643] Loss: 1.0595
   [Batch 550/643] Loss: 1.0279
   [Batch 600/643] Loss: 0.9678
   [Batch 50/643] Loss: 1.0530
   [Batch 100/643] Loss: 1.0035
   [Batch 150/643] Loss: 0.9877
   [Batch 200/643] Loss: 0.9766
   [Batch 250/643] Loss: 0.9450
   [Batch 300/643] Loss: 0.8281
   [Batch 350/643] Loss: 1.0317
   [Batch 400/643] Loss: 0.9341
   [Batch 450/643] Loss: 1.0161
   [Batch 500/643] Loss: 0.9906
   [Batch 550/643] Loss: 1.0087
   [Batch 600/643] Loss: 1.0071
    20    0.9690    0.9678   23.684   0.8695   1.00e-04  174.1s  ← BEST ✓
   [Batch 50/643] Loss: 0.9581
   [Batch 100/643] Loss: 0.9892
   [Batch 150/643] Loss: 0.9381
   [Batch 200/643] Loss: 0.9564
   [Batch 250/643] Loss: 1.0627
   [Batch 300/643] Loss: 0.9926
   [Batch 350/643] Loss: 0.9676
   [Batch 400/643] Loss: 0.9715
   [Batch 450/643] Loss: 0.9582
   [Batch 500/643] Loss: 1.0760
   [Batch 550/643] Loss: 1.0142
   [Batch 600/643] Loss: 0.9507
   [Batch 50/643] Loss: 0.8086
   [Batch 100/643] Loss: 0.9515
   [Batch 150/643] Loss: 1.0868
   [Batch 200/643] Loss: 0.8739
   [Batch 250/643] Loss: 0.8058
   [Batch 300/643] Loss: 0.9461
   [Batch 350/643] Loss: 0.9972
   [Batch 400/643] Loss: 0.9175
   [Batch 450/643] Loss: 0.8620
   [Batch 500/643] Loss: 0.9675
   [Batch 550/643] Loss: 0.9738
   [Batch 600/643] Loss: 0.9571
    22    0.9634    0.9680   23.374   0.8650   1.00e-04  172.2s
   [Batch 50/643] Loss: 0.9803
   [Batch 100/643] Loss: 0.9883
   [Batch 150/643] Loss: 0.9649
   [Batch 200/643] Loss: 0.9516
   [Batch 250/643] Loss: 0.9110
   [Batch 300/643] Loss: 0.9477
   [Batch 350/643] Loss: 0.9768
   [Batch 400/643] Loss: 0.9032
   [Batch 450/643] Loss: 0.9458
   [Batch 500/643] Loss: 1.1095
   [Batch 550/643] Loss: 0.9621
   [Batch 600/643] Loss: 1.0348
   [Batch 50/643] Loss: 0.9737
   [Batch 100/643] Loss: 0.9275
   [Batch 150/643] Loss: 0.9238
   [Batch 200/643] Loss: 0.9439
   [Batch 250/643] Loss: 0.9796
   [Batch 300/643] Loss: 0.8696
   [Batch 350/643] Loss: 0.9781
   [Batch 400/643] Loss: 0.9692
   [Batch 450/643] Loss: 0.9109
   [Batch 500/643] Loss: 0.8677
   [Batch 550/643] Loss: 0.9220
   [Batch 600/643] Loss: 0.9445
    24    0.9577    0.9622   23.607   0.8696   1.00e-04  173.2s
   [Batch 50/643] Loss: 0.9626
   [Batch 100/643] Loss: 0.9378
   [Batch 150/643] Loss: 0.8782
   [Batch 200/643] Loss: 0.9240
   [Batch 250/643] Loss: 0.9000
   [Batch 300/643] Loss: 0.9409
   [Batch 350/643] Loss: 0.8704
   [Batch 400/643] Loss: 0.9923
   [Batch 450/643] Loss: 0.9417
   [Batch 500/643] Loss: 1.0483
   [Batch 550/643] Loss: 0.9655
   [Batch 600/643] Loss: 0.8154
   [Batch 50/643] Loss: 0.9477
   [Batch 100/643] Loss: 0.9310
   [Batch 150/643] Loss: 0.8626
   [Batch 200/643] Loss: 0.8766
   [Batch 250/643] Loss: 0.8879
   [Batch 300/643] Loss: 0.9845
   [Batch 350/643] Loss: 0.9458
   [Batch 400/643] Loss: 0.9686
   [Batch 450/643] Loss: 0.8801
   [Batch 500/643] Loss: 0.9249
   [Batch 550/643] Loss: 0.8816
   [Batch 600/643] Loss: 0.9094
    26    0.9532    0.9591   23.633   0.8707   1.00e-04  172.2s
   [Batch 50/643] Loss: 0.9568
   [Batch 100/643] Loss: 1.0309
   [Batch 150/643] Loss: 0.8163
   [Batch 200/643] Loss: 0.8924
   [Batch 250/643] Loss: 0.9261
   [Batch 300/643] Loss: 0.9193
   [Batch 350/643] Loss: 0.9014
   [Batch 400/643] Loss: 0.9197
   [Batch 450/643] Loss: 0.9450
   [Batch 500/643] Loss: 0.9157
   [Batch 550/643] Loss: 1.0029
   [Batch 600/643] Loss: 0.9596
   [Batch 50/643] Loss: 0.9543
   [Batch 100/643] Loss: 0.9558
   [Batch 150/643] Loss: 0.9712
   [Batch 200/643] Loss: 0.9519
   [Batch 250/643] Loss: 0.9799
   [Batch 300/643] Loss: 1.0016
   [Batch 350/643] Loss: 0.9352
   [Batch 400/643] Loss: 0.9986
   [Batch 450/643] Loss: 0.9644
   [Batch 500/643] Loss: 0.9865
   [Batch 550/643] Loss: 1.0259
   [Batch 600/643] Loss: 0.9318
    28    0.9484    0.9562   23.675   0.8704   1.00e-04  172.2s
   [Batch 50/643] Loss: 0.8361
   [Batch 100/643] Loss: 0.8955
   [Batch 150/643] Loss: 1.0799
   [Batch 200/643] Loss: 0.8614
   [Batch 250/643] Loss: 1.0179
   [Batch 300/643] Loss: 0.8764
   [Batch 350/643] Loss: 1.0133
   [Batch 400/643] Loss: 0.9867
   [Batch 450/643] Loss: 0.9915
   [Batch 500/643] Loss: 0.9788
   [Batch 550/643] Loss: 0.9042
   [Batch 600/643] Loss: 0.8730
   [Batch 50/643] Loss: 0.8990
   [Batch 100/643] Loss: 0.8653
   [Batch 150/643] Loss: 0.8773
   [Batch 200/643] Loss: 0.8337
   [Batch 250/643] Loss: 0.9905
   [Batch 300/643] Loss: 0.9069
   [Batch 350/643] Loss: 0.9017
   [Batch 400/643] Loss: 0.8852
   [Batch 450/643] Loss: 1.0249
   [Batch 500/643] Loss: 0.9273
   [Batch 550/643] Loss: 0.8675
   [Batch 600/643] Loss: 0.9885
    30    0.9444    0.9553   23.726   0.8735   5.00e-05  172.7s  ← BEST ✓
   [Batch 50/643] Loss: 0.8557
   [Batch 100/643] Loss: 0.9711
   [Batch 150/643] Loss: 0.8548
   [Batch 200/643] Loss: 1.0150
   [Batch 250/643] Loss: 0.9196
   [Batch 300/643] Loss: 0.8635
   [Batch 350/643] Loss: 0.8576
   [Batch 400/643] Loss: 0.9160
   [Batch 450/643] Loss: 0.9193
   [Batch 500/643] Loss: 0.9355
   [Batch 550/643] Loss: 0.9474
   [Batch 600/643] Loss: 0.8532
   [Batch 50/643] Loss: 0.9102
   [Batch 100/643] Loss: 0.8777
   [Batch 150/643] Loss: 0.9564
   [Batch 200/643] Loss: 1.0748
   [Batch 250/643] Loss: 0.9961
   [Batch 300/643] Loss: 0.9236
   [Batch 350/643] Loss: 0.8591
   [Batch 400/643] Loss: 0.8747
   [Batch 450/643] Loss: 0.9285
   [Batch 500/643] Loss: 0.8936
   [Batch 550/643] Loss: 0.9880
   [Batch 600/643] Loss: 0.8882
    32    0.9336    0.9517   23.654   0.8717   5.00e-05  172.1s
   [Batch 50/643] Loss: 0.9419
   [Batch 100/643] Loss: 0.9406
   [Batch 150/643] Loss: 0.8312
   [Batch 200/643] Loss: 0.9648
   [Batch 250/643] Loss: 1.0628
   [Batch 300/643] Loss: 0.8605
   [Batch 350/643] Loss: 0.9198
   [Batch 400/643] Loss: 0.9271
   [Batch 450/643] Loss: 0.9322
   [Batch 500/643] Loss: 0.9212
   [Batch 550/643] Loss: 0.9389
   [Batch 600/643] Loss: 0.8878
   [Batch 50/643] Loss: 0.8558
   [Batch 100/643] Loss: 0.8646
   [Batch 150/643] Loss: 0.8600
   [Batch 200/643] Loss: 0.9494
   [Batch 250/643] Loss: 0.9263
   [Batch 300/643] Loss: 0.9666
   [Batch 350/643] Loss: 0.9149
   [Batch 400/643] Loss: 0.9192
   [Batch 450/643] Loss: 0.8960
   [Batch 500/643] Loss: 0.8762
   [Batch 550/643] Loss: 0.9275
   [Batch 600/643] Loss: 0.9088
    34    0.9300    0.9483   23.768   0.8744   5.00e-05  172.3s  ← BEST ✓
   [Batch 50/643] Loss: 0.9109
   [Batch 100/643] Loss: 0.8841
   [Batch 150/643] Loss: 0.9340
   [Batch 200/643] Loss: 0.8200
   [Batch 250/643] Loss: 0.8807
   [Batch 300/643] Loss: 0.9471
   [Batch 350/643] Loss: 0.9206
   [Batch 400/643] Loss: 0.9028
   [Batch 450/643] Loss: 0.9533
   [Batch 500/643] Loss: 0.9965
   [Batch 550/643] Loss: 0.8286
   [Batch 600/643] Loss: 0.9443
   [Batch 50/643] Loss: 0.8956
   [Batch 100/643] Loss: 0.9841
   [Batch 150/643] Loss: 0.9688
   [Batch 200/643] Loss: 0.9675
   [Batch 250/643] Loss: 0.9884
   [Batch 300/643] Loss: 0.9528
   [Batch 350/643] Loss: 1.0112
   [Batch 400/643] Loss: 1.0226
   [Batch 450/643] Loss: 0.7603
   [Batch 500/643] Loss: 0.9342
   [Batch 550/643] Loss: 0.8435
   [Batch 600/643] Loss: 1.0359
    36    0.9267    0.9433   23.950   0.8757   5.00e-05  172.9s  ← BEST ✓
   [Batch 50/643] Loss: 0.9667
   [Batch 100/643] Loss: 0.9360
   [Batch 150/643] Loss: 0.8309
   [Batch 200/643] Loss: 1.0851
   [Batch 250/643] Loss: 0.9581
   [Batch 300/643] Loss: 0.9386
   [Batch 350/643] Loss: 0.8577
   [Batch 400/643] Loss: 0.8408
   [Batch 450/643] Loss: 0.9204
   [Batch 500/643] Loss: 1.0075
   [Batch 550/643] Loss: 0.9046
   [Batch 600/643] Loss: 0.8957
   [Batch 50/643] Loss: 0.9755
   [Batch 100/643] Loss: 1.1350
